Domain,Energy (micro joules),Duration (s)
package-0,150695,0.003194093704223633
dram-0,13877,0.003194093704223633
package-1,122559,0.003194093704223633
dram-1,9761,0.003194093704223633
nvidia-gpu-0,0,0.003194093704223633
package-0,197753,0.003893136978149414
dram-0,35343,0.003893136978149414
package-1,155579,0.003893136978149414
dram-1,19493,0.003893136978149414
nvidia-gpu-0,0,0.003893136978149414
package-0,111938,0.003907203674316406
dram-0,17718,0.003907203674316406
package-1,104675,0.003907203674316406
dram-1,16356,0.003907203674316406
nvidia-gpu-0,0,0.003907203674316406
package-0,196044,0.003892660140991211
dram-0,30937,0.003892660140991211
package-1,183655,0.003892660140991211
dram-1,22767,0.003892660140991211
nvidia-gpu-0,0,0.003892660140991211
package-0,141357,0.003896951675415039
dram-0,22062,0.003896951675415039
package-1,104919,0.003896951675415039
dram-1,13020,0.003896951675415039
nvidia-gpu-0,0,0.003896951675415039
package-0,196655,0.003897428512573242
dram-0,30936,0.003897428512573242
package-1,183715,0.003897428512573242
dram-1,22797,0.003897428512573242
nvidia-gpu-0,0,0.003897428512573242
package-0,140197,0.003887176513671875
dram-0,22123,0.003887176513671875
package-1,128356,0.003887176513671875
dram-1,13036,0.003887176513671875
nvidia-gpu-0,0,0.003887176513671875
package-0,197509,0.0038902759552001953
dram-0,30967,0.0038902759552001953
package-1,184875,0.0038902759552001953
dram-1,22782,0.0038902759552001953
nvidia-gpu-0,0,0.0038902759552001953
package-0,141907,0.0038518905639648438
dram-0,22063,0.0038518905639648438
package-1,105225,0.0038518905639648438
dram-1,12990,0.0038518905639648438
nvidia-gpu-0,0,0.0038518905639648438
package-0,196777,0.0039157867431640625
dram-0,30631,0.0039157867431640625
package-1,180664,0.0039157867431640625
dram-1,22781,0.0039157867431640625
nvidia-gpu-0,0,0.0039157867431640625
package-0,142638,0.0038657188415527344
dram-0,22032,0.0038657188415527344
package-1,108398,0.0038657188415527344
dram-1,13021,0.0038657188415527344
nvidia-gpu-0,0,0.0038657188415527344
package-0,197570,0.003914356231689453
dram-0,30998,0.003914356231689453
package-1,183654,0.003914356231689453
dram-1,22782,0.003914356231689453
nvidia-gpu-0,0,0.003914356231689453
package-0,143127,0.003961086273193359
dram-0,22017,0.003961086273193359
package-1,131347,0.003961086273193359
dram-1,16249,0.003961086273193359
nvidia-gpu-0,0,0.003961086273193359
package-0,196106,0.003988981246948242
dram-0,30968,0.003988981246948242
package-1,182006,0.003988981246948242
dram-1,22873,0.003988981246948242
nvidia-gpu-0,0,0.003988981246948242
package-0,140198,0.003994941711425781
dram-0,22124,0.003994941711425781
package-1,104186,0.003994941711425781
dram-1,16386,0.003994941711425781
nvidia-gpu-0,0,0.003994941711425781
package-0,197327,0.0039479732513427734
dram-0,35373,0.0039479732513427734
package-1,185669,0.0039479732513427734
dram-1,26179,0.0039479732513427734
nvidia-gpu-0,0,0.0039479732513427734
package-0,143981,0.003947257995605469
dram-0,26530,0.003947257995605469
package-1,129578,0.003947257995605469
dram-1,16524,0.003947257995605469
nvidia-gpu-0,0,0.003947257995605469
package-0,202331,0.003990888595581055
dram-0,30891,0.003990888595581055
package-1,178405,0.003990888595581055
dram-1,22797,0.003990888595581055
nvidia-gpu-0,0,0.003990888595581055
package-0,140625,0.003996610641479492
dram-0,22032,0.003996610641479492
package-1,104919,0.003996610641479492
dram-1,16263,0.003996610641479492
nvidia-gpu-0,0,0.003996610641479492
package-0,188720,0.003981828689575195
dram-0,30967,0.003981828689575195
package-1,182617,0.003981828689575195
dram-1,22781,0.003981828689575195
nvidia-gpu-0,0,0.003981828689575195
