Domain,Energy (micro joules),Duration (s)
package-0,142272,0.0038635730743408203
dram-0,22062,0.0038635730743408203
package-1,130492,0.0038635730743408203
dram-1,16401,0.0038635730743408203
nvidia-gpu-0,0,0.0038635730743408203
package-0,197387,0.0035877227783203125
dram-0,26561,0.0035877227783203125
package-1,155639,0.0035877227783203125
dram-1,19523,0.0035877227783203125
nvidia-gpu-0,0,0.0035877227783203125
package-0,111572,0.0033380985260009766
dram-0,22093,0.0033380985260009766
package-1,104309,0.0033380985260009766
dram-1,12989,0.0033380985260009766
nvidia-gpu-0,0,0.0033380985260009766
package-0,202636,0.0033528804779052734
dram-0,26469,0.0033528804779052734
package-1,158019,0.0033528804779052734
dram-1,19538,0.0033528804779052734
nvidia-gpu-0,0,0.0033528804779052734
package-0,134460,0.003370523452758789
dram-0,22093,0.003370523452758789
package-1,104797,0.003370523452758789
dram-1,13036,0.003370523452758789
nvidia-gpu-0,0,0.003370523452758789
package-0,192444,0.0033676624298095703
dram-0,30951,0.0033676624298095703
package-1,154785,0.0033676624298095703
dram-1,19538,0.0033676624298095703
nvidia-gpu-0,0,0.0033676624298095703
package-0,114380,0.003411531448364258
dram-0,17656,0.003411531448364258
package-1,103821,0.003411531448364258
dram-1,16554,0.003411531448364258
nvidia-gpu-0,0,0.003411531448364258
package-0,199768,0.0033218860626220703
dram-0,31044,0.0033218860626220703
package-1,178345,0.0033218860626220703
dram-1,23287,0.0033218860626220703
nvidia-gpu-0,0,0.0033218860626220703
package-0,113280,0.0034101009368896484
dram-0,17779,0.0034101009368896484
package-1,106018,0.0034101009368896484
dram-1,13035,0.0034101009368896484
nvidia-gpu-0,0,0.0034101009368896484
package-0,168640,0.003406047821044922
dram-0,26561,0.003406047821044922
package-1,156738,0.003406047821044922
dram-1,19507,0.003406047821044922
nvidia-gpu-0,0,0.003406047821044922
package-0,114196,0.0033953189849853516
dram-0,22063,0.0033953189849853516
package-1,106567,0.0033953189849853516
dram-1,16494,0.0033953189849853516
nvidia-gpu-0,0,0.0033953189849853516
package-0,198486,0.0035085678100585938
dram-0,30937,0.0035085678100585938
package-1,183166,0.0035085678100585938
dram-1,19508,0.0035085678100585938
nvidia-gpu-0,0,0.0035085678100585938
package-0,106262,0.0032911300659179688
dram-0,17733,0.0032911300659179688
package-1,104492,0.0032911300659179688
dram-1,16478,0.0032911300659179688
nvidia-gpu-0,0,0.0032911300659179688
package-0,167480,0.003287792205810547
dram-0,26561,0.003287792205810547
package-1,156737,0.003287792205810547
dram-1,22920,0.003287792205810547
nvidia-gpu-0,0,0.003287792205810547
package-0,112122,0.0033562183380126953
dram-0,17687,0.0033562183380126953
package-1,131408,0.0033562183380126953
dram-1,16631,0.0033562183380126953
nvidia-gpu-0,0,0.0033562183380126953
package-0,198974,0.003363370895385742
dram-0,30936,0.003363370895385742
package-1,183837,0.003363370895385742
dram-1,23210,0.003363370895385742
nvidia-gpu-0,0,0.003363370895385742
package-0,112732,0.003338336944580078
dram-0,17687,0.003338336944580078
package-1,109070,0.003338336944580078
dram-1,17626,0.003338336944580078
nvidia-gpu-0,0,0.003338336944580078
package-0,200439,0.003282308578491211
dram-0,30906,0.003282308578491211
package-1,185851,0.003282308578491211
dram-1,19614,0.003282308578491211
nvidia-gpu-0,0,0.003282308578491211
package-0,108459,0.0033588409423828125
dram-0,17748,0.0033588409423828125
package-1,130615,0.0033588409423828125
dram-1,16447,0.0033588409423828125
nvidia-gpu-0,0,0.0033588409423828125
package-0,198303,0.0033118724822998047
dram-0,31029,0.0033118724822998047
package-1,184448,0.0033118724822998047
dram-1,22919,0.0033118724822998047
nvidia-gpu-0,0,0.0033118724822998047
