Domain,Energy (micro joules),Duration (s)
package-0,178161,0.002861499786376953
dram-0,18054,0.002861499786376953
package-1,144470,0.002861499786376953
dram-1,13035,0.002861499786376953
nvidia-gpu-0,0,0.002861499786376953
package-0,199951,0.0032858848571777344
dram-0,26622,0.0032858848571777344
package-1,156921,0.0032858848571777344
dram-1,19523,0.0032858848571777344
nvidia-gpu-0,0,0.0032858848571777344
package-0,141052,0.003293275833129883
dram-0,22277,0.003293275833129883
package-1,105469,0.003293275833129883
dram-1,13005,0.003293275833129883
nvidia-gpu-0,0,0.003293275833129883
package-0,196471,0.0032873153686523438
dram-0,30998,0.0032873153686523438
package-1,183105,0.0032873153686523438
dram-1,19538,0.0032873153686523438
nvidia-gpu-0,0,0.0032873153686523438
package-0,112548,0.003301858901977539
dram-0,17656,0.003301858901977539
package-1,130554,0.003301858901977539
dram-1,13020,0.003301858901977539
nvidia-gpu-0,0,0.003301858901977539
package-0,196106,0.003282785415649414
dram-0,30936,0.003282785415649414
package-1,156433,0.003282785415649414
dram-1,19553,0.003282785415649414
nvidia-gpu-0,0,0.003282785415649414
package-0,141968,0.003263711929321289
dram-0,17931,0.003263711929321289
package-1,107605,0.003263711929321289
dram-1,12990,0.003263711929321289
nvidia-gpu-0,0,0.003263711929321289
package-0,167724,0.0033140182495117188
dram-0,26530,0.0033140182495117188
package-1,157043,0.0033140182495117188
dram-1,19554,0.0033140182495117188
nvidia-gpu-0,0,0.0033140182495117188
package-0,112854,0.003289461135864258
dram-0,17717,0.003289461135864258
package-1,125793,0.003289461135864258
dram-1,16555,0.003289461135864258
nvidia-gpu-0,0,0.003289461135864258
package-0,168762,0.0033135414123535156
dram-0,26500,0.0033135414123535156
package-1,182128,0.0033135414123535156
dram-1,22874,0.0033135414123535156
nvidia-gpu-0,0,0.0033135414123535156
package-0,141234,0.0032591819763183594
dram-0,22246,0.0032591819763183594
package-1,103698,0.0032591819763183594
dram-1,13021,0.0032591819763183594
nvidia-gpu-0,0,0.0032591819763183594
package-0,199523,0.0032777786254882812
dram-0,30998,0.0032777786254882812
package-1,186401,0.0032777786254882812
dram-1,19523,0.0032777786254882812
nvidia-gpu-0,0,0.0032777786254882812
package-0,111266,0.0032758712768554688
dram-0,17687,0.0032758712768554688
package-1,105285,0.0032758712768554688
dram-1,13082,0.0032758712768554688
nvidia-gpu-0,0,0.0032758712768554688
package-0,197509,0.0033004283905029297
dram-0,26622,0.0033004283905029297
package-1,156066,0.0033004283905029297
dram-1,19538,0.0033004283905029297
nvidia-gpu-0,0,0.0033004283905029297
package-0,111938,0.003311634063720703
dram-0,22476,0.003311634063720703
package-1,127319,0.003311634063720703
dram-1,13067,0.003311634063720703
nvidia-gpu-0,0,0.003311634063720703
package-0,208862,0.00328826904296875
dram-0,30845,0.00328826904296875
package-1,155762,0.00328826904296875
dram-1,19523,0.00328826904296875
nvidia-gpu-0,0,0.00328826904296875
package-0,111694,0.0032949447631835938
dram-0,17901,0.0032949447631835938
package-1,105102,0.0032949447631835938
dram-1,13005,0.0032949447631835938
nvidia-gpu-0,0,0.0032949447631835938
package-0,169616,0.003229379653930664
dram-0,31196,0.003229379653930664
package-1,179809,0.003229379653930664
dram-1,23057,0.003229379653930664
nvidia-gpu-0,0,0.003229379653930664
package-0,114075,0.0031981468200683594
dram-0,17687,0.0031981468200683594
package-1,102905,0.0031981468200683594
dram-1,13403,0.0031981468200683594
nvidia-gpu-0,0,0.0031981468200683594
package-0,198364,0.003260374069213867
dram-0,26561,0.003260374069213867
package-1,159545,0.003260374069213867
dram-1,19523,0.003260374069213867
nvidia-gpu-0,0,0.003260374069213867
