Domain,Energy (micro joules),Duration (s)
package-0,4893847,0.13602852821350098
dram-0,688990,0.13602852821350098
package-1,3939016,0.13602852821350098
dram-1,444495,0.13602852821350098
nvidia-gpu-0,1551,0.13602852821350098
package-0,2284662,0.06664085388183594
dram-0,360957,0.06664085388183594
package-1,1854304,0.06664085388183594
dram-1,229148,0.06664085388183594
nvidia-gpu-0,730,0.06664085388183594
package-0,2206660,0.06612753868103027
dram-0,338482,0.06612753868103027
package-1,1779170,0.06612753868103027
dram-1,215271,0.06612753868103027
nvidia-gpu-0,761,0.06612753868103027
package-0,2343988,0.06646895408630371
dram-0,357041,0.06646895408630371
package-1,1859065,0.06646895408630371
dram-1,231734,0.06646895408630371
nvidia-gpu-0,587,0.06646895408630371
package-0,2216791,0.0673685073852539
dram-0,345474,0.0673685073852539
package-1,1769405,0.0673685073852539
dram-1,221437,0.0673685073852539
nvidia-gpu-0,398,0.0673685073852539
package-0,2265680,0.06525349617004395
dram-0,353568,0.06525349617004395
package-1,1809199,0.06525349617004395
dram-1,221421,0.06525349617004395
nvidia-gpu-0,200,0.06525349617004395
package-0,2230036,0.06696915626525879
dram-0,346607,0.06696915626525879
package-1,1805964,0.06696915626525879
dram-1,222784,0.06696915626525879
nvidia-gpu-0,30,0.06696915626525879
package-0,2282953,0.06647634506225586
dram-0,361478,0.06647634506225586
package-1,1842830,0.06647634506225586
dram-1,229929,0.06647634506225586
nvidia-gpu-0,0,0.06647634506225586
package-0,2285028,0.06876897811889648
dram-0,358296,0.06876897811889648
package-1,1848689,0.06876897811889648
dram-1,229546,0.06876897811889648
nvidia-gpu-0,0,0.06876897811889648
package-0,2393976,0.0667576789855957
dram-0,364523,0.0667576789855957
package-1,1878230,0.0667576789855957
dram-1,229867,0.0667576789855957
nvidia-gpu-0,899,0.0667576789855957
package-0,2202631,0.06716513633728027
dram-0,340700,0.06716513633728027
package-1,1786495,0.06716513633728027
dram-1,218407,0.06716513633728027
nvidia-gpu-0,717,0.06716513633728027
package-0,2275751,0.06647801399230957
dram-0,352008,0.06647801399230957
package-1,1855036,0.06647801399230957
dram-1,225522,0.06647801399230957
nvidia-gpu-0,500,0.06647801399230957
package-0,2192804,0.06635403633117676
dram-0,342551,0.06635403633117676
package-1,1781795,0.06635403633117676
dram-1,217352,0.06635403633117676
nvidia-gpu-0,607,0.06635403633117676
package-0,2294245,0.06539463996887207
dram-0,353537,0.06539463996887207
package-1,1812007,0.06539463996887207
dram-1,225599,0.06539463996887207
nvidia-gpu-0,687,0.06539463996887207
package-0,2230707,0.06676387786865234
dram-0,348029,0.06676387786865234
package-1,1782649,0.06676387786865234
dram-1,218500,0.06676387786865234
nvidia-gpu-0,529,0.06676387786865234
package-0,2770745,0.07606887817382812
dram-0,417828,0.07606887817382812
package-1,2182001,0.07606887817382812
dram-1,264261,0.07606887817382812
nvidia-gpu-0,333,0.07606887817382812
package-0,2257868,0.06845641136169434
dram-0,355465,0.06845641136169434
package-1,1830501,0.06845641136169434
dram-1,224895,0.06845641136169434
nvidia-gpu-0,0,0.06845641136169434
package-0,2246394,0.06471514701843262
dram-0,348580,0.06471514701843262
package-1,1814509,0.06471514701843262
dram-1,222998,0.06471514701843262
nvidia-gpu-0,0,0.06471514701843262
package-0,2255671,0.06769895553588867
dram-0,352711,0.06769895553588867
package-1,1833674,0.06769895553588867
dram-1,225139,0.06769895553588867
nvidia-gpu-0,0,0.06769895553588867
package-0,2251276,0.06584572792053223
dram-0,358724,0.06584572792053223
package-1,1801876,0.06584572792053223
dram-1,221911,0.06584572792053223
nvidia-gpu-0,723,0.06584572792053223
