Domain,Energy (micro joules),Duration (s)
package-0,140686,0.003779172897338867
dram-0,22093,0.003779172897338867
package-1,132873,0.003779172897338867
dram-1,13020,0.003779172897338867
nvidia-gpu-0,30,0.003779172897338867
package-0,196410,0.0037069320678710938
dram-0,26576,0.0037069320678710938
package-1,157043,0.0037069320678710938
dram-1,22751,0.0037069320678710938
nvidia-gpu-0,0,0.0037069320678710938
package-0,143249,0.004126310348510742
dram-0,22063,0.004126310348510742
package-1,130005,0.004126310348510742
dram-1,16448,0.004126310348510742
nvidia-gpu-0,0,0.004126310348510742
package-0,192870,0.00370025634765625
dram-0,28764,0.00370025634765625
package-1,154663,0.00370025634765625
dram-1,19492,0.00370025634765625
nvidia-gpu-0,0,0.00370025634765625
package-0,114196,0.0037157535552978516
dram-0,22063,0.0037157535552978516
package-1,129638,0.0037157535552978516
dram-1,16387,0.0037157535552978516
nvidia-gpu-0,0,0.0037157535552978516
package-0,197509,0.003701448440551758
dram-0,30968,0.003701448440551758
package-1,181640,0.003701448440551758
dram-1,22797,0.003701448440551758
nvidia-gpu-0,0,0.003701448440551758
package-0,141296,0.0037012100219726562
dram-0,22094,0.0037012100219726562
package-1,128540,0.0037012100219726562
dram-1,16447,0.0037012100219726562
nvidia-gpu-0,0,0.0037012100219726562
package-0,197327,0.003679513931274414
dram-0,30997,0.003679513931274414
package-1,182556,0.003679513931274414
dram-1,22981,0.003679513931274414
nvidia-gpu-0,0,0.003679513931274414
package-0,112244,0.0037093162536621094
dram-0,22063,0.0037093162536621094
package-1,130859,0.0037093162536621094
dram-1,16524,0.0037093162536621094
nvidia-gpu-0,0,0.0037093162536621094
package-0,196594,0.0037500858306884766
dram-0,31059,0.0037500858306884766
package-1,183593,0.0037500858306884766
dram-1,22965,0.0037500858306884766
nvidia-gpu-0,0,0.0037500858306884766
package-0,142578,0.0037250518798828125
dram-0,22124,0.0037250518798828125
package-1,130492,0.0037250518798828125
dram-1,13005,0.0037250518798828125
nvidia-gpu-0,0,0.0037250518798828125
package-0,197509,0.0037157535552978516
dram-0,30906,0.0037157535552978516
package-1,180541,0.0037157535552978516
dram-1,22965,0.0037157535552978516
nvidia-gpu-0,0,0.0037157535552978516
package-0,140686,0.0036957263946533203
dram-0,22093,0.0036957263946533203
package-1,130004,0.0036957263946533203
dram-1,16264,0.0036957263946533203
nvidia-gpu-0,0,0.0036957263946533203
package-0,196288,0.0037107467651367188
dram-0,30983,0.0037107467651367188
package-1,183410,0.0037107467651367188
dram-1,19462,0.0037107467651367188
nvidia-gpu-0,0,0.0037107467651367188
package-0,139160,0.005095720291137695
dram-0,22078,0.005095720291137695
package-1,132019,0.005095720291137695
dram-1,16508,0.005095720291137695
nvidia-gpu-0,0,0.005095720291137695
package-0,194580,0.0040166378021240234
dram-0,30997,0.0040166378021240234
package-1,181518,0.0040166378021240234
dram-1,22813,0.0040166378021240234
nvidia-gpu-0,0,0.0040166378021240234
package-0,142394,0.00398564338684082
dram-0,22062,0.00398564338684082
package-1,105408,0.00398564338684082
dram-1,13082,0.00398564338684082
nvidia-gpu-0,0,0.00398564338684082
package-0,208435,0.0036869049072265625
dram-0,30906,0.0036869049072265625
package-1,207702,0.0036869049072265625
dram-1,22522,0.0036869049072265625
nvidia-gpu-0,0,0.0036869049072265625
package-0,113769,0.003626585006713867
dram-0,17687,0.003626585006713867
package-1,128478,0.003626585006713867
dram-1,16479,0.003626585006713867
nvidia-gpu-0,0,0.003626585006713867
package-0,199157,0.0036420822143554688
dram-0,30967,0.0036420822143554688
package-1,184936,0.0036420822143554688
dram-1,23164,0.0036420822143554688
nvidia-gpu-0,0,0.0036420822143554688
