Domain,Energy (micro joules),Duration (s)
package-0,2417901,0.05150961875915527
dram-0,247477,0.05150961875915527
package-1,2523614,0.05150961875915527
dram-1,265639,0.05150961875915527
nvidia-gpu-0,0,0.05150961875915527
package-0,1579830,0.053232431411743164
dram-0,247982,0.053232431411743164
package-1,1676021,0.053232431411743164
dram-1,244143,0.053232431411743164
nvidia-gpu-0,0,0.053232431411743164
package-0,1449826,0.04921245574951172
dram-0,225675,0.04921245574951172
package-1,1509578,0.04921245574951172
dram-1,219769,0.04921245574951172
nvidia-gpu-0,0,0.04921245574951172
package-0,1457882,0.04848313331604004
dram-0,230280,0.04848313331604004
package-1,1513241,0.04848313331604004
dram-1,224053,0.04848313331604004
nvidia-gpu-0,0,0.04848313331604004
package-0,1480465,0.04964160919189453
dram-0,230387,0.04964160919189453
package-1,1569027,0.04964160919189453
dram-1,226317,0.04964160919189453
nvidia-gpu-0,0,0.04964160919189453
package-0,2675347,0.04912519454956055
dram-0,274834,0.04912519454956055
package-1,2189692,0.04912519454956055
dram-1,175598,0.04912519454956055
nvidia-gpu-0,107,0.04912519454956055
package-0,1848445,0.05620121955871582
dram-0,289507,0.05620121955871582
package-1,1550167,0.05620121955871582
dram-1,191862,0.05620121955871582
nvidia-gpu-0,143,0.05620121955871582
package-0,1635860,0.04813051223754883
dram-0,253414,0.04813051223754883
package-1,1338986,0.04813051223754883
dram-1,166036,0.04813051223754883
nvidia-gpu-0,80,0.04813051223754883
package-0,1638546,0.04942917823791504
dram-0,256596,0.04942917823791504
package-1,1368710,0.04942917823791504
dram-1,169754,0.04942917823791504
nvidia-gpu-0,128,0.04942917823791504
package-0,1610042,0.04726576805114746
dram-0,250629,0.04726576805114746
package-1,1320187,0.04726576805114746
dram-1,162807,0.04726576805114746
nvidia-gpu-0,254,0.04726576805114746
package-0,2743157,0.050766706466674805
dram-0,282347,0.050766706466674805
package-1,2244318,0.050766706466674805
dram-1,184579,0.050766706466674805
nvidia-gpu-0,78,0.050766706466674805
package-0,1755000,0.05238938331604004
dram-0,277756,0.05238938331604004
package-1,1442868,0.05238938331604004
dram-1,179056,0.05238938331604004
nvidia-gpu-0,84,0.05238938331604004
package-0,1620967,0.0512545108795166
dram-0,253873,0.0512545108795166
package-1,1384212,0.0512545108795166
dram-1,169814,0.0512545108795166
nvidia-gpu-0,109,0.0512545108795166
package-0,1625850,0.04860353469848633
dram-0,252512,0.04860353469848633
package-1,1330624,0.04860353469848633
dram-1,166097,0.04860353469848633
nvidia-gpu-0,121,0.04860353469848633
package-0,1630855,0.049835205078125
dram-0,252756,0.049835205078125
package-1,1355465,0.049835205078125
dram-1,166234,0.049835205078125
nvidia-gpu-0,302,0.049835205078125
package-0,1583736,0.047260284423828125
dram-0,244341,0.047260284423828125
package-1,1303829,0.047260284423828125
dram-1,163159,0.047260284423828125
nvidia-gpu-0,0,0.047260284423828125
package-0,1598812,0.0495455265045166
dram-0,243148,0.0495455265045166
package-1,1320004,0.0495455265045166
dram-1,162302,0.0495455265045166
nvidia-gpu-0,0,0.0495455265045166
package-0,1585018,0.04664158821105957
dram-0,244938,0.04664158821105957
package-1,1309078,0.04664158821105957
dram-1,163236,0.04664158821105957
nvidia-gpu-0,0,0.04664158821105957
package-0,1586421,0.04837751388549805
dram-0,243270,0.04837751388549805
package-1,1290036,0.04837751388549805
dram-1,164092,0.04837751388549805
nvidia-gpu-0,0,0.04837751388549805
package-0,1633236,0.048697471618652344
dram-0,257376,0.048697471618652344
package-1,1360043,0.048697471618652344
dram-1,169218,0.048697471618652344
nvidia-gpu-0,0,0.048697471618652344
package-0,1960261,0.06002616882324219
dram-0,307866,0.06002616882324219
package-1,1600215,0.06002616882324219
dram-1,195320,0.06002616882324219
nvidia-gpu-0,0,0.06002616882324219
package-0,1737178,0.051749467849731445
dram-0,272049,0.051749467849731445
package-1,1445126,0.051749467849731445
dram-1,179087,0.051749467849731445
nvidia-gpu-0,0,0.051749467849731445
package-0,1970088,0.05913376808166504
dram-0,306169,0.05913376808166504
package-1,1581722,0.05913376808166504
dram-1,195687,0.05913376808166504
nvidia-gpu-0,0,0.05913376808166504
package-0,1649105,0.04868578910827637
dram-0,254638,0.04868578910827637
package-1,1371457,0.04868578910827637
dram-1,169906,0.04868578910827637
nvidia-gpu-0,0,0.04868578910827637
package-0,1953486,0.059603214263916016
dram-0,303721,0.059603214263916016
package-1,1604855,0.059603214263916016
dram-1,198747,0.059603214263916016
nvidia-gpu-0,0,0.059603214263916016
package-0,1700801,0.05026578903198242
dram-0,265226,0.05026578903198242
package-1,1412716,0.05026578903198242
dram-1,176179,0.05026578903198242
nvidia-gpu-0,0,0.05026578903198242
package-0,1907894,0.06059598922729492
dram-0,298121,0.06059598922729492
package-1,1569881,0.06059598922729492
dram-1,194983,0.06059598922729492
nvidia-gpu-0,757,0.06059598922729492
package-0,1638546,0.04822683334350586
dram-0,255801,0.04822683334350586
package-1,1361020,0.04822683334350586
dram-1,165836,0.04822683334350586
nvidia-gpu-0,641,0.04822683334350586
package-0,1915889,0.058301448822021484
dram-0,301869,0.058301448822021484
package-1,1583309,0.058301448822021484
dram-1,191878,0.058301448822021484
nvidia-gpu-0,725,0.058301448822021484
package-0,1689631,0.05108356475830078
dram-0,266740,0.05108356475830078
package-1,1428769,0.05108356475830078
dram-1,172186,0.05108356475830078
nvidia-gpu-0,627,0.05108356475830078
