Domain,Energy (micro joules),Duration (s)
package-0,112183,0.0028514862060546875
dram-0,17778,0.0028514862060546875
package-1,105835,0.0028514862060546875
dram-1,13051,0.0028514862060546875
nvidia-gpu-0,0,0.0028514862060546875
package-0,199584,0.002935647964477539
dram-0,31151,0.002935647964477539
package-1,180602,0.002935647964477539
dram-1,19584,0.002935647964477539
nvidia-gpu-0,0,0.002935647964477539
package-0,113159,0.002900362014770508
dram-0,17686,0.002900362014770508
package-1,107544,0.002900362014770508
dram-1,12990,0.002900362014770508
nvidia-gpu-0,0,0.002900362014770508
package-0,166931,0.002885103225708008
dram-0,26530,0.002885103225708008
package-1,181213,0.002885103225708008
dram-1,22843,0.002885103225708008
nvidia-gpu-0,23,0.002885103225708008
package-0,112671,0.0028162002563476562
dram-0,17656,0.0028162002563476562
package-1,103149,0.0028162002563476562
dram-1,13173,0.0028162002563476562
nvidia-gpu-0,0,0.0028162002563476562
package-0,168884,0.0028922557830810547
dram-0,26576,0.0028922557830810547
package-1,156372,0.0028922557830810547
dram-1,19829,0.0028922557830810547
nvidia-gpu-0,0,0.0028922557830810547
package-0,112427,0.0028443336486816406
dram-0,17656,0.0028443336486816406
package-1,104858,0.0028443336486816406
dram-1,13326,0.0028443336486816406
nvidia-gpu-0,0,0.0028443336486816406
package-0,165893,0.002826213836669922
dram-0,26561,0.002826213836669922
package-1,156310,0.002826213836669922
dram-1,19798,0.002826213836669922
nvidia-gpu-0,0,0.002826213836669922
package-0,83985,0.0028138160705566406
dram-0,17779,0.0028138160705566406
package-1,105285,0.0028138160705566406
dram-1,13188,0.0028138160705566406
nvidia-gpu-0,0,0.0028138160705566406
package-0,166687,0.0028486251831054688
dram-0,26561,0.0028486251831054688
package-1,157288,0.0028486251831054688
dram-1,19630,0.0028486251831054688
nvidia-gpu-0,0,0.0028486251831054688
package-0,111877,0.003247499465942383
dram-0,17686,0.003247499465942383
package-1,106323,0.003247499465942383
dram-1,13311,0.003247499465942383
nvidia-gpu-0,0,0.003247499465942383
package-0,170226,0.0029108524322509766
dram-0,26576,0.0029108524322509766
package-1,155212,0.0029108524322509766
dram-1,23087,0.0029108524322509766
nvidia-gpu-0,0,0.0029108524322509766
package-0,113464,0.0029087066650390625
dram-0,17686,0.0029087066650390625
package-1,104980,0.0029087066650390625
dram-1,13189,0.0029087066650390625
nvidia-gpu-0,0,0.0029087066650390625
package-0,166748,0.0028162002563476562
dram-0,26546,0.0028162002563476562
package-1,180908,0.0028162002563476562
dram-1,23149,0.0028162002563476562
nvidia-gpu-0,0,0.0028162002563476562
package-0,112609,0.0029251575469970703
dram-0,17703,0.0029251575469970703
package-1,102417,0.0029251575469970703
dram-1,13249,0.0029251575469970703
nvidia-gpu-0,0,0.0029251575469970703
package-0,166870,0.002880096435546875
dram-0,26561,0.002880096435546875
package-1,156982,0.002880096435546875
dram-1,23072,0.002880096435546875
nvidia-gpu-0,0,0.002880096435546875
package-0,113342,0.0029053688049316406
dram-0,17656,0.0029053688049316406
package-1,77575,0.0029053688049316406
dram-1,9762,0.0029053688049316406
nvidia-gpu-0,0,0.0029053688049316406
package-0,169067,0.0028574466705322266
dram-0,26561,0.0028574466705322266
package-1,154907,0.0028574466705322266
dram-1,19584,0.0028574466705322266
nvidia-gpu-0,0,0.0028574466705322266
package-0,114868,0.002807140350341797
dram-0,17641,0.002807140350341797
package-1,103393,0.002807140350341797
dram-1,13219,0.002807140350341797
nvidia-gpu-0,35,0.002807140350341797
package-0,169311,0.0028426647186279297
dram-0,26530,0.0028426647186279297
package-1,155822,0.0028426647186279297
dram-1,19721,0.0028426647186279297
nvidia-gpu-0,0,0.0028426647186279297
