Domain,Energy (micro joules),Duration (s)
package-0,731687,0.02248382568359375
dram-0,115041,0.02248382568359375
package-1,613524,0.02248382568359375
dram-1,79101,0.02248382568359375
nvidia-gpu-0,0,0.02248382568359375
package-0,783506,0.023131608963012695
dram-0,121283,0.023131608963012695
package-1,703673,0.023131608963012695
dram-1,88158,0.023131608963012695
nvidia-gpu-0,0,0.023131608963012695
package-0,703368,0.022323131561279297
dram-0,106809,0.022323131561279297
package-1,624388,0.022323131561279297
dram-1,78611,0.022323131561279297
nvidia-gpu-0,132,0.022323131561279297
package-0,676024,0.019686222076416016
dram-0,103382,0.019686222076416016
package-1,599730,0.019686222076416016
dram-1,75215,0.019686222076416016
nvidia-gpu-0,0,0.019686222076416016
package-0,639220,0.0217742919921875
dram-0,96130,0.0217742919921875
package-1,598631,0.0217742919921875
dram-1,75214,0.0217742919921875
nvidia-gpu-0,0,0.0217742919921875
package-0,547850,0.015773534774780273
dram-0,90698,0.015773534774780273
package-1,468566,0.015773534774780273
dram-1,59103,0.015773534774780273
nvidia-gpu-0,38,0.015773534774780273
package-0,700498,0.02241659164428711
dram-0,105004,0.02241659164428711
package-1,633421,0.02241659164428711
dram-1,75520,0.02241659164428711
nvidia-gpu-0,0,0.02241659164428711
package-0,697996,0.020653486251831055
dram-0,103076,0.020653486251831055
package-1,626525,0.020653486251831055
dram-1,78106,0.020653486251831055
nvidia-gpu-0,0,0.020653486251831055
package-0,486998,0.015827417373657227
dram-0,81871,0.015827417373657227
package-1,418090,0.015827417373657227
dram-1,52984,0.015827417373657227
nvidia-gpu-0,322,0.015827417373657227
package-0,699583,0.020090818405151367
dram-0,110910,0.020090818405151367
package-1,624022,0.020090818405151367
dram-1,74894,0.020090818405151367
nvidia-gpu-0,0,0.020090818405151367
package-0,460387,0.01483154296875
dram-0,76163,0.01483154296875
package-1,451049,0.01483154296875
dram-1,54575,0.01483154296875
nvidia-gpu-0,0,0.01483154296875
package-0,492613,0.013367652893066406
dram-0,80387,0.013367652893066406
package-1,417113,0.013367652893066406
dram-1,52066,0.013367652893066406
nvidia-gpu-0,398,0.013367652893066406
package-0,436217,0.013608694076538086
dram-0,67090,0.013608694076538086
package-1,365050,0.013608694076538086
dram-1,45762,0.013608694076538086
nvidia-gpu-0,0,0.013608694076538086
package-0,497618,0.01390695571899414
dram-0,80631,0.01390695571899414
package-1,443542,0.01390695571899414
dram-1,55325,0.01390695571899414
nvidia-gpu-0,0,0.01390695571899414
package-0,621764,0.020480871200561523
dram-0,94952,0.020480871200561523
package-1,546874,0.020480871200561523
dram-1,68422,0.020480871200561523
nvidia-gpu-0,0,0.020480871200561523
package-0,578429,0.017275094985961914
dram-0,94768,0.017275094985961914
package-1,494444,0.017275094985961914
dram-1,61919,0.017275094985961914
nvidia-gpu-0,0,0.017275094985961914
package-0,640379,0.02124810218811035
dram-0,94508,0.02124810218811035
package-1,573119,0.02124810218811035
dram-1,71742,0.02124810218811035
nvidia-gpu-0,0,0.02124810218811035
package-0,461669,0.012856483459472656
dram-0,74985,0.012856483459472656
package-1,417601,0.012856483459472656
dram-1,52265,0.012856483459472656
nvidia-gpu-0,0,0.012856483459472656
package-0,460143,0.014758110046386719
dram-0,75903,0.014758110046386719
package-1,391417,0.014758110046386719
dram-1,50460,0.014758110046386719
nvidia-gpu-0,0,0.014758110046386719
package-0,461180,0.013686895370483398
dram-0,74602,0.013686895370483398
package-1,441588,0.013686895370483398
dram-1,55126,0.013686895370483398
nvidia-gpu-0,0,0.013686895370483398
