Domain,Energy (micro joules),Duration (s)
package-0,111938,0.003126382827758789
dram-0,17656,0.003126382827758789
package-1,103942,0.003126382827758789
dram-1,13281,0.003126382827758789
nvidia-gpu-0,29,0.003126382827758789
package-0,168273,0.003106355667114258
dram-0,30968,0.003106355667114258
package-1,182556,0.003106355667114258
dram-1,23057,0.003106355667114258
nvidia-gpu-0,0,0.003106355667114258
package-0,111938,0.003062009811401367
dram-0,17595,0.003062009811401367
package-1,109802,0.003062009811401367
dram-1,14290,0.003062009811401367
nvidia-gpu-0,16,0.003062009811401367
package-0,160706,0.0031783580780029297
dram-0,26591,0.0031783580780029297
package-1,183227,0.0031783580780029297
dram-1,19477,0.0031783580780029297
nvidia-gpu-0,0,0.0031783580780029297
package-0,113342,0.003129720687866211
dram-0,17656,0.003129720687866211
package-1,96862,0.003129720687866211
dram-1,13327,0.003129720687866211
nvidia-gpu-0,0,0.003129720687866211
package-0,168640,0.003143310546875
dram-0,26499,0.003143310546875
package-1,183837,0.003143310546875
dram-1,23087,0.003143310546875
nvidia-gpu-0,0,0.003143310546875
package-0,108764,0.0030722618103027344
dram-0,17702,0.0030722618103027344
package-1,105774,0.0030722618103027344
dram-1,13265,0.0030722618103027344
nvidia-gpu-0,0,0.0030722618103027344
package-0,170226,0.003093242645263672
dram-0,30968,0.003093242645263672
package-1,182556,0.003093242645263672
dram-1,19569,0.003093242645263672
nvidia-gpu-0,0,0.003093242645263672
package-0,113220,0.0030608177185058594
dram-0,17687,0.0030608177185058594
package-1,104919,0.0030608177185058594
dram-1,13143,0.0030608177185058594
nvidia-gpu-0,0,0.0030608177185058594
package-0,171631,0.003103971481323242
dram-0,26531,0.003103971481323242
package-1,182799,0.003103971481323242
dram-1,23180,0.003103971481323242
nvidia-gpu-0,0,0.003103971481323242
package-0,113526,0.003065347671508789
dram-0,17686,0.003065347671508789
package-1,104858,0.003065347671508789
dram-1,13265,0.003065347671508789
nvidia-gpu-0,0,0.003065347671508789
package-0,169738,0.003139972686767578
dram-0,30967,0.003139972686767578
package-1,181335,0.003139972686767578
dram-1,22950,0.003139972686767578
nvidia-gpu-0,0,0.003139972686767578
package-0,115601,0.0030829906463623047
dram-0,17687,0.0030829906463623047
package-1,109924,0.0030829906463623047
dram-1,13388,0.0030829906463623047
nvidia-gpu-0,0,0.0030829906463623047
package-0,172546,0.0030603408813476562
dram-0,26500,0.0030603408813476562
package-1,155700,0.0030603408813476562
dram-1,19232,0.0030603408813476562
nvidia-gpu-0,0,0.0030603408813476562
package-0,111267,0.0030481815338134766
dram-0,17687,0.0030481815338134766
package-1,105407,0.0030481815338134766
dram-1,13097,0.0030481815338134766
nvidia-gpu-0,0,0.0030481815338134766
package-0,196716,0.0031321048736572266
dram-0,30967,0.0031321048736572266
package-1,181579,0.0031321048736572266
dram-1,22873,0.0031321048736572266
nvidia-gpu-0,0,0.0031321048736572266
package-0,111755,0.003075838088989258
dram-0,17656,0.003075838088989258
package-1,104370,0.003075838088989258
dram-1,13280,0.003075838088989258
nvidia-gpu-0,0,0.003075838088989258
package-0,195739,0.003092050552368164
dram-0,30967,0.003092050552368164
package-1,183532,0.003092050552368164
dram-1,19523,0.003092050552368164
nvidia-gpu-0,0,0.003092050552368164
package-0,112915,0.003070831298828125
dram-0,17687,0.003070831298828125
package-1,106140,0.003070831298828125
dram-1,13020,0.003070831298828125
nvidia-gpu-0,0,0.003070831298828125
package-0,168823,0.0031235218048095703
dram-0,26561,0.0031235218048095703
package-1,156249,0.0031235218048095703
dram-1,22981,0.0031235218048095703
nvidia-gpu-0,0,0.0031235218048095703
