Domain,Energy (micro joules),Duration (s)
package-0,872679,0.028813600540161133
dram-0,133845,0.028813600540161133
package-1,756895,0.028813600540161133
dram-1,97675,0.028813600540161133
nvidia-gpu-0,0,0.028813600540161133
package-0,1008176,0.030108928680419922
dram-0,155524,0.030108928680419922
package-1,877867,0.030108928680419922
dram-1,110634,0.030108928680419922
nvidia-gpu-0,0,0.030108928680419922
package-0,1038205,0.03279447555541992
dram-0,148686,0.03279447555541992
package-1,862486,0.03279447555541992
dram-1,107406,0.03279447555541992
nvidia-gpu-0,0,0.03279447555541992
package-0,1064023,0.029768705368041992
dram-0,151103,0.029768705368041992
package-1,888548,0.029768705368041992
dram-1,104729,0.029768705368041992
nvidia-gpu-0,50,0.029768705368041992
package-0,897215,0.028968334197998047
dram-0,137333,0.028968334197998047
package-1,777830,0.028968334197998047
dram-1,97874,0.028968334197998047
nvidia-gpu-0,374,0.028968334197998047
package-0,989377,0.029551267623901367
dram-0,148961,0.029551267623901367
package-1,839353,0.029551267623901367
dram-1,104056,0.029551267623901367
nvidia-gpu-0,0,0.029551267623901367
package-0,898496,0.028461933135986328
dram-0,137394,0.028461933135986328
package-1,754942,0.028461933135986328
dram-1,94462,0.028461933135986328
nvidia-gpu-0,0,0.028461933135986328
package-0,929624,0.02821207046508789
dram-0,145641,0.02821207046508789
package-1,808835,0.02821207046508789
dram-1,101240,0.02821207046508789
nvidia-gpu-0,0,0.02821207046508789
package-0,921201,0.029637813568115234
dram-0,141663,0.029637813568115234
package-1,808591,0.029637813568115234
dram-1,101378,0.029637813568115234
nvidia-gpu-0,287,0.029637813568115234
package-0,956052,0.028069496154785156
dram-0,142060,0.028069496154785156
package-1,807005,0.028069496154785156
dram-1,101469,0.028069496154785156
nvidia-gpu-0,0,0.028069496154785156
package-0,920591,0.029410362243652344
dram-0,137562,0.029410362243652344
package-1,782164,0.029410362243652344
dram-1,97614,0.029410362243652344
nvidia-gpu-0,0,0.029410362243652344
package-0,965025,0.028404951095581055
dram-0,146544,0.028404951095581055
package-1,814573,0.028404951095581055
dram-1,101699,0.028404951095581055
nvidia-gpu-0,0,0.028404951095581055
package-0,925962,0.029777050018310547
dram-0,141541,0.029777050018310547
package-1,822508,0.029777050018310547
dram-1,100108,0.029777050018310547
nvidia-gpu-0,206,0.029777050018310547
package-0,903257,0.02692270278930664
dram-0,138114,0.02692270278930664
package-1,790952,0.02692270278930664
dram-1,98058,0.02692270278930664
nvidia-gpu-0,0,0.02692270278930664
package-0,896482,0.030241727828979492
dram-0,137456,0.030241727828979492
package-1,781797,0.030241727828979492
dram-1,97737,0.030241727828979492
nvidia-gpu-0,0,0.030241727828979492
package-0,962888,0.029056310653686523
dram-0,145488,0.029056310653686523
package-1,859251,0.029056310653686523
dram-1,105356,0.029056310653686523
nvidia-gpu-0,0,0.029056310653686523
package-0,955137,0.03086233139038086
dram-0,146191,0.03086233139038086
package-1,839414,0.03086233139038086
dram-1,104683,0.03086233139038086
nvidia-gpu-0,116,0.03086233139038086
package-0,900816,0.027043819427490234
dram-0,136445,0.027043819427490234
package-1,780454,0.027043819427490234
dram-1,94829,0.027043819427490234
nvidia-gpu-0,0,0.027043819427490234
package-0,915403,0.0293731689453125
dram-0,147293,0.0293731689453125
package-1,810911,0.0293731689453125
dram-1,101882,0.0293731689453125
nvidia-gpu-0,0,0.0293731689453125
package-0,984739,0.029330730438232422
dram-0,150383,0.029330730438232422
package-1,862547,0.029330730438232422
dram-1,107942,0.029330730438232422
nvidia-gpu-0,0,0.029330730438232422
